Date,estimated river discharge
1-Mar-22,833.6280167
4-Mar-22,1024.729881
6-Mar-22,662.1917399
7-Mar-22,544.7584074
9-Mar-22,711.3315921
10-Mar-22,523.8231483
11-Mar-22,867.6311217
16-Mar-22,751.177383
19-Mar-22,1124.992623
21-Mar-22,379.3454576
22-Mar-22,281.5340209
23-Mar-22,294.300464
24-Mar-22,386.0672295
26-Mar-22,570.8135415
29-Mar-22,346.7508007
31-Mar-22,386.4647486
3-Apr-22,703.4734875
5-Apr-22,925.5926579
8-Apr-22,1219.339874
10-Apr-22,780.9835465
13-Apr-22,864.7753131
15-Apr-22,664.7407744
18-Apr-22,1449.864747
20-Apr-22,955.1752683
23-Apr-22,350.8743231
24-Apr-22,649.5089003
25-Apr-22,304.6071197
27-Apr-22,263.9421493
28-Apr-22,254.4452644
30-Apr-22,370.3593858
3-May-22,305.6489029
5-May-22,326.1900359
8-May-22,312.2939849
9-May-22,265.8651291
10-May-22,282.1979357
13-May-22,302.1841663
15-May-22,300.1161132
18-May-22,317.95315
20-May-22,333.0853999
23-May-22,349.7469518
25-May-22,385.6699459
26-May-22,302.8753145
28-May-22,343.0263865
30-May-22,745.8112576
2-Jun-22,634.4268876
4-Jun-22,751.177383
7-Jun-22,347.8726246
9-Jun-22,1115.421199
11-Jun-22,937.3776727
12-Jun-22,597.380238
14-Jun-22,884.850642
17-Jun-22,411.7828488
19-Jun-22,361.1145486
22-Jun-22,211.5604411
24-Jun-22,191.2274325
27-Jun-22,139.6157427
29-Jun-22,107.2875637
2-Jul-22,208.1855331
4-Jul-22,2363.383282
7-Jul-22,388.4558853
9-Jul-22,368.0355704
12-Jul-22,706.0887351
13-Jul-22,322.5939913
14-Jul-22,334.1816909
22-Jul-22,237.2402999
24-Jul-22,218.1136996
27-Jul-22,478.5422492
29-Jul-22,382.8955645
1-Aug-22,370.7475072
3-Aug-22,368.0355704
6-Aug-22,307.738551
8-Aug-22,318.6646266
11-Aug-22,1926.188952
13-Aug-22,558.9067056
14-Aug-22,443.5617933
30-Aug-22,1709.237375
31-Aug-22,1629.449742
2-Sep-22,1893.915992
5-Sep-22,1667.233199
7-Sep-22,1464.178019
12-Sep-22,1603.229488
15-Sep-22,1794.633584
17-Sep-22,884.850642
18-Sep-22,1112.238602
20-Sep-22,844.897703
22-Sep-22,1131.39326
25-Sep-22,764.6643394
27-Sep-22,934.4254121
30-Sep-22,1074.355197
2-Oct-22,916.7959763
5-Oct-22,876.222748
7-Oct-22,1137.809646
10-Oct-22,1183.164548
12-Oct-22,585.2412347
15-Oct-22,355.0258471
17-Oct-22,292.9414738
20-Oct-22,237.8431205
25-Oct-22,246.6807429
27-Oct-22,293.620522
30-Oct-22,280.2088512
