Date,estimated river discharge
1-Mar-22,871.5729604
4-Mar-22,917.7329253
6-Mar-22,887.9519629
7-Mar-22,890.3227112
9-Mar-22,884.8029913
10-Mar-22,884.017895
11-Mar-22,887.1634321
14-Mar-22,887.1634321
16-Mar-22,893.4957436
21-Mar-22,890.3227112
22-Mar-22,854.8187548
23-Mar-22,772.8647942
24-Mar-22,722.9390529
31-Mar-22,502.7186466
3-Apr-22,592.235674
5-Apr-22,918.5542179
8-Apr-22,891.9075077
10-Apr-22,903.0974595
13-Apr-22,925.9848257
15-Apr-22,921.0232906
18-Apr-22,876.2141047
20-Apr-22,929.3098567
23-Apr-22,617.5137054
24-Apr-22,753.0228951
25-Apr-22,909.5675616
27-Apr-22,848.8287003
28-Apr-22,614.3211537
30-Apr-22,659.8756366
3-May-22,579.82074
5-May-22,530.173146
8-May-22,620.7156584
9-May-22,609.5499272
10-May-22,609.5499272
13-May-22,690.1444602
15-May-22,638.4948271
18-May-22,531.6408786
20-May-22,555.4360373
23-May-22,582.9105204
25-May-22,669.8792201
26-May-22,791.1607108
28-May-22,744.1016676
30-May-22,765.6152557
2-Jun-22,686.7429616
4-Jun-22,888.7413537
7-Jun-22,778.3277298
9-Jun-22,899.883106
11-Jun-22,910.3802095
12-Jun-22,932.6487757
14-Jun-22,946.994383
17-Jun-22,852.5660942
19-Jun-22,569.0795831
22-Jun-22,519.9628749
24-Jun-22,469.2047371
27-Jun-22,393.4896631
29-Jun-22,477.4620313
2-Jul-22,471.9482266
4-Jul-22,1157.847012
7-Jul-22,717.7030034
9-Jul-22,710.7554775
14-Jul-22,873.1165843
17-Jul-22,938.5253338
19-Jul-22,862.3830591
22-Jul-22,582.9105204
24-Jul-22,645.0308475
27-Jul-22,763.8090032
29-Jul-22,838.4771881
1-Aug-22,820.9478954
3-Aug-22,633.6176483
6-Aug-22,834.1796339
8-Aug-22,592.235674
11-Aug-22,958.9975794
13-Aug-22,917.7329253
14-Aug-22,863.9061632
16-Aug-22,897.4813881
18-Aug-22,969.4224619
21-Aug-22,887.1634321
23-Aug-22,1231.404954
5-Sep-22,997.8405889
7-Sep-22,1007.817981
10-Sep-22,885.588946
12-Sep-22,1026.233604
15-Sep-22,1025.304378
17-Sep-22,979.9736456
18-Sep-22,969.4224619
20-Sep-22,983.5188346
22-Sep-22,936.8419696
25-Sep-22,869.2639428
27-Sep-22,815.3144641
30-Sep-22,884.017895
2-Oct-22,881.6677539
7-Oct-22,873.8896797
10-Oct-22,902.2925778
12-Oct-22,866.1972261
17-Oct-22,696.9762795
20-Oct-22,536.0577855
22-Oct-22,540.4952812
25-Oct-22,607.9642066
27-Oct-22,543.4650654
30-Oct-22,570.6070838
