Date,estimated river discharge
1-Mar-22,709.0865499
4-Mar-22,827.9864736
6-Mar-22,674.6951266
7-Mar-22,765.3383028
9-Mar-22,721.4140316
10-Mar-22,748.4625091
11-Mar-22,688.760266
14-Mar-22,750.5623739
16-Mar-22,803.9513981
21-Mar-22,773.8420919
22-Mar-22,773.8420919
23-Mar-22,773.8420919
24-Mar-22,466.9233106
26-Mar-22,295.6520634
29-Mar-22,336.0001518
31-Mar-22,402.7411587
3-Apr-22,469.2878686
5-Apr-22,886.1192097
8-Apr-22,1069.211592
10-Apr-22,979.1891881
13-Apr-22,793.1362711
15-Apr-22,763.219218
18-Apr-22,769.5847044
20-Apr-22,795.2938012
23-Apr-22,351.8798785
25-Apr-22,847.8989271
27-Apr-22,550.512341
30-Apr-22,409.2819125
3-May-22,334.6954253
5-May-22,298.7006567
8-May-22,305.4690101
9-May-22,397.6952231
10-May-22,397.6952231
13-May-22,294.4375032
15-May-22,403.4649548
18-May-22,324.3600173
20-May-22,299.9249761
23-May-22,374.3914566
25-May-22,391.9725876
26-May-22,516.3553216
28-May-22,379.9677613
30-May-22,482.8164338
2-Jun-22,391.2605624
4-Jun-22,713.1847323
7-Jun-22,509.7094367
9-Jun-22,854.5859086
11-Jun-22,1152.700815
12-Jun-22,856.8204051
14-Jun-22,886.1192097
17-Jun-22,462.2146875
19-Jun-22,367.4865312
22-Jun-22,295.6520634
24-Jun-22,171.4573337
27-Jun-22,192.8967342
29-Jun-22,209.6236865
2-Jul-22,195.7938031
4-Jul-22,2446.6541
7-Jul-22,415.8826017
9-Jul-22,381.3691275
12-Jul-22,445.9489639
13-Jul-22,1752.259545
14-Jul-22,744.2710119
17-Jul-22,1005.557269
19-Jul-22,478.0164878
22-Jul-22,345.8766374
24-Jul-22,397.6952231
27-Jul-22,513.0261898
29-Jul-22,660.7644312
1-Aug-22,433.7788683
3-Aug-22,418.8355281
6-Aug-22,652.8643953
8-Aug-22,431.5183344
11-Aug-22,1359.299184
13-Aug-22,672.6967967
16-Aug-22,778.1104635
18-Aug-22,1109.313892
21-Aug-22,803.9513981
23-Aug-22,3251.717961
5-Sep-22,1761.765542
7-Sep-22,1585.538804
10-Sep-22,735.9209586
12-Sep-22,1793.638128
15-Sep-22,1689.54301
17-Sep-22,1624.917241
18-Sep-22,1178.597642
20-Sep-22,1612.749711
22-Sep-22,1134.738418
25-Sep-22,488.4511505
27-Sep-22,466.1366438
30-Sep-22,1127.081913
2-Oct-22,886.1192097
7-Oct-22,993.5303456
10-Oct-22,738.0043542
12-Oct-22,680.7065813
17-Oct-22,393.398838
20-Oct-22,293.2257276
25-Oct-22,317.9925295
27-Oct-22,323.0808622
30-Oct-22,332.0945171
