Date,estimated river discharge
1-Mar-22,748.3599204
4-Mar-22,713.2445087
5-Mar-22,725.5915904
6-Mar-22,656.4260313
7-Mar-22,661.1679418
9-Mar-22,708.1261803
10-Mar-22,592.0885145
11-Mar-22,643.8768788
14-Mar-22,658.0044838
16-Mar-22,860.0684543
17-Mar-22,810.5917931
19-Mar-22,778.4004696
21-Mar-22,718.4104771
22-Mar-22,434.9893077
23-Mar-22,387.8434124
24-Mar-22,557.0223073
26-Mar-22,535.724647
29-Mar-22,489.1903108
30-Mar-22,455.2139682
31-Mar-22,656.4260313
3-Apr-22,730.8709694
5-Apr-22,589.1195044
8-Apr-22,855.2953336
10-Apr-22,763.5550749
13-Apr-22,787.7580268
15-Apr-22,689.9706312
18-Apr-22,736.198217
20-Apr-22,620.7217743
22-Apr-22,694.9167755
23-Apr-22,761.4615243
24-Apr-22,717.114515
25-Apr-22,549.8704627
27-Apr-22,524.5589603
28-Apr-22,654.8497591
30-Apr-22,537.1297782
1-May-22,475.9587467
3-May-22,561.3387501
4-May-22,457.7785312
8-May-22,523.1726545
9-May-22,425.0706459
10-May-22,479.9066536
13-May-22,495.883262
15-May-22,432.4975768
16-May-22,464.2255503
17-May-22,328.5701425
18-May-22,592.0885145
20-May-22,634.5563447
23-May-22,575.8645476
25-May-22,469.4198653
26-May-22,447.5690057
28-May-22,578.7951851
30-May-22,651.7037613
2-Jun-22,703.0554296
4-Jun-22,715.1761605
7-Jun-22,804.628922
9-Jun-22,836.4822996
11-Jun-22,769.1711147
12-Jun-22,755.9119161
14-Jun-22,737.5375162
17-Jun-22,680.3325621
18-Jun-22,466.8186251
19-Jun-22,575.8645476
21-Jun-22,405.6179047
22-Jun-22,414.0655755
24-Jun-22,402.0273262
27-Jun-22,409.2263814
29-Jun-22,358.0835498
2-Jul-22,1117.853651
3-Jul-22,1186.397982
4-Jul-22,495.883262
7-Jul-22,534.3216101
9-Jul-22,592.0885145
12-Jul-22,517.6482846
13-Jul-22,508.0607586
14-Jul-22,562.781793
15-Jul-22,534.3216101
17-Jul-22,541.3577604
19-Jul-22,426.3034466
20-Jul-22,436.2381946
22-Jul-22,645.4379027
24-Jul-22,683.5573892
27-Jul-22,583.2071038
29-Jul-22,681.943876
1-Aug-22,645.4379027
3-Aug-22,708.7633687
5-Aug-22,539.9463347
6-Aug-22,568.5751403
8-Aug-22,436.2381946
13-Aug-22,527.337836
16-Aug-22,722.96983
18-Aug-22,662.7529476
20-Aug-22,686.7910193
21-Aug-22,698.657502
30-Aug-22,831.0791252
31-Aug-22,1230.377697
1-Sep-22,1369.49645
2-Sep-22,815.8495336
5-Sep-22,820.3861032
6-Sep-22,871.3148204
7-Sep-22,872.1239863
10-Sep-22,752.4679023
12-Sep-22,1188.564212
13-Sep-22,884.3553957
15-Sep-22,804.628922
17-Sep-22,790.6631256
18-Sep-22,799.4515694
20-Sep-22,791.3913032
22-Sep-22,765.6554218
25-Sep-22,728.8855965
27-Sep-22,664.3401398
30-Sep-22,678.7234444
1-Oct-22,640.7613496
7-Oct-22,539.9463347
8-Oct-22,714.5315322
10-Oct-22,733.5286047
12-Oct-22,658.0044838
15-Oct-22,377.3919834
17-Oct-22,421.3842747
20-Oct-22,489.1903108
22-Oct-22,491.8613049
24-Oct-22,503.9829599
25-Oct-22,571.4845342
27-Oct-22,538.5370065
30-Oct-22,498.5748899
31-Oct-22,345.8896486
