Date,estimated river discharge
1-Mar-22,908.4415279
4-Mar-22,931.1280787
6-Mar-22,496.0843571
7-Mar-22,444.0853869
9-Mar-22,244.814284
10-Mar-22,572.7644604
11-Mar-22,456.8450054
14-Mar-22,876.1320255
21-Mar-22,632.9774979
22-Mar-22,212.7632932
23-Mar-22,170.3049137
24-Mar-22,141.1983333
26-Mar-22,215.5710035
29-Mar-22,118.2320474
30-Mar-22,118.8076624
31-Mar-22,201.7417817
3-Apr-22,317.5054877
5-Apr-22,258.0045992
8-Apr-22,910.9493878
10-Apr-22,727.2551048
13-Apr-22,888.4944307
15-Apr-22,693.6907624
18-Apr-22,946.397212
20-Apr-22,846.7902829
23-Apr-22,220.0256528
24-Apr-22,597.3504147
25-Apr-22,254.448187
27-Apr-22,166.8032939
28-Apr-22,158.5659088
30-Apr-22,150.8906922
1-May-22,160.2627188
3-May-22,129.4332042
5-May-22,134.6263164
8-May-22,151.5496459
9-May-22,151.5496459
10-May-22,151.5496459
13-May-22,161.6274711
15-May-22,135.5545235
17-May-22,125.8354818
18-May-22,129.4332042
20-May-22,155.202645
23-May-22,194.4523776
25-May-22,254.8911833
26-May-22,204.4658685
28-May-22,211.1683132
30-May-22,766.1703857
2-Jun-22,794.1998851
4-Jun-22,351.0691319
7-Jun-22,198.6539706
9-Jun-22,354.342297
11-Jun-22,987.68124
12-Jun-22,1141.456922
14-Jun-22,455.0123857
17-Jun-22,261.1398259
18-Jun-22,191.0525999
19-Jun-22,260.6905987
22-Jun-22,129.4332042
24-Jun-22,113.1205738
27-Jun-22,117.9448164
29-Jun-22,107.3134229
2-Jul-22,153.5361522
4-Jul-22,2401.385578
7-Jul-22,199.038466
9-Jul-22,179.6016008
12-Jul-22,275.0542486
19-Jul-22,137.4215731
20-Jul-22,124.9448067
22-Jul-22,138.3604241
24-Jul-22,124.9448067
27-Jul-22,303.5725976
29-Jul-22,230.3442017
1-Aug-22,238.3680301
3-Aug-22,217.9943575
5-Aug-22,298.9887634
6-Aug-22,158.9044601
8-Aug-22,212.3639059
13-Aug-22,210.770638
14-Aug-22,239.6493788
30-Aug-22,2268.199771
2-Sep-22,1987.54302
5-Sep-22,1439.726941
6-Sep-22,1573.520332
7-Sep-22,1642.579068
12-Sep-22,1662.575574
15-Sep-22,1424.201514
17-Sep-22,1381.089779
18-Sep-22,1008.632263
20-Sep-22,731.7850911
22-Sep-22,652.2167139
25-Sep-22,530.8614952
27-Sep-22,766.1703857
30-Sep-22,530.8614952
2-Oct-22,724.9949381
5-Oct-22,745.4523129
7-Oct-22,654.3705398
10-Oct-22,326.9448748
12-Oct-22,396.3753296
15-Oct-22,379.3140009
17-Oct-22,126.4312083
20-Oct-22,121.1255303
22-Oct-22,129.1312498
24-Oct-22,127.3277157
25-Oct-22,172.425576
27-Oct-22,135.5545235
30-Oct-22,140.5649145
