Date,estimated river discharge
4-Mar-22,795.8520086
5-Mar-22,724.3273339
7-Mar-22,711.5774205
9-Mar-22,787.4301225
10-Mar-22,735.245136
14-Mar-22,781.1559642
17-Mar-22,1182.273275
19-Mar-22,792.1594991
22-Mar-22,361.5658767
23-Mar-22,358.1948731
24-Mar-22,575.4741451
29-Mar-22,316.8548188
30-Mar-22,300.9250661
3-Apr-22,926.5076952
8-Apr-22,1024.126825
10-Apr-22,793.2132416
13-Apr-22,904.3238671
15-Apr-22,767.6857579
18-Apr-22,927.0966157
22-Apr-22,877.4092133
23-Apr-22,992.8826076
24-Apr-22,774.9179282
27-Apr-22,394.2177479
28-Apr-22,644.886937
1-May-22,465.9749956
3-May-22,524.1272264
4-May-22,408.0313335
8-May-22,383.6575461
9-May-22,432.7157234
10-May-22,465.4185407
13-May-22,588.1048365
16-May-22,442.3856435
17-May-22,243.9982591
18-May-22,486.8287295
23-May-22,654.3059579
26-May-22,551.2940438
28-May-22,690.375699
2-Jun-22,803.8061739
7-Jun-22,893.3740497
9-Jun-22,873.4498668
11-Jun-22,962.9168413
12-Jun-22,888.7918238
17-Jun-22,699.9545987
18-Jun-22,591.9246779
21-Jun-22,318.2027495
22-Jun-22,278.2913151
27-Jun-22,391.1841879
2-Jul-22,2059.794436
3-Jul-22,2043.741963
4-Jul-22,643.5477757
7-Jul-22,610.5873449
12-Jul-22,445.6357197
13-Jul-22,459.322313
15-Jul-22,563.0000327
17-Jul-22,492.5537439
20-Jul-22,550.6818253
22-Jul-22,581.7698762
27-Jul-22,652.2809774
29-Jul-22,496.5838452
1-Aug-22,576.101955
5-Aug-22,450.5359934
6-Aug-22,487.9706984
8-Aug-22,300.9250661
11-Aug-22,711.5774205
16-Aug-22,621.0264459
20-Aug-22,596.399072
21-Aug-22,687.5208927
26-Aug-22,899.125338
30-Aug-22,850.5140981
31-Aug-22,2010.832838
1-Sep-22,2257.902154
5-Sep-22,987.9462037
6-Sep-22,918.2905005
10-Sep-22,761.5256872
13-Sep-22,1746.800414
15-Sep-22,1054.760717
18-Sep-22,1149.790815
20-Sep-22,1118.601083
22-Sep-22,853.2879129
25-Sep-22,583.0337275
30-Sep-22,985.4844597
1-Oct-22,972.6308055
5-Oct-22,733.7493376
7-Oct-22,565.4823609
8-Oct-22,487.3995248
10-Oct-22,576.7301566
15-Oct-22,274.9588987
17-Oct-22,219.4140977
20-Oct-22,208.8974975
24-Oct-22,167.6532296
25-Oct-22,238.1998888
30-Oct-22,183.307413
31-Oct-22,174.7365507
