Date,estimated river discharge
4-Mar-22,704.3752476
5-Mar-22,644.9386561
7-Mar-22,561.5176465
9-Mar-22,693.37687
10-Mar-22,562.1429488
14-Mar-22,660.8932805
17-Mar-22,1317.972606
19-Mar-22,589.4110079
22-Mar-22,363.1864868
23-Mar-22,208.8715422
29-Mar-22,192.680104
30-Mar-22,696.6674202
3-Apr-22,838.2239798
8-Apr-22,1265.441841
10-Apr-22,761.7976467
13-Apr-22,802.4974242
15-Apr-22,685.7287772
18-Apr-22,718.8008452
22-Apr-22,713.2354416
23-Apr-22,1025.938421
24-Apr-22,1000.766119
28-Apr-22,587.484407
1-May-22,340.6590423
3-May-22,331.3171565
4-May-22,291.4910898
8-May-22,384.0049681
9-May-22,352.5410925
10-May-22,408.6011387
13-May-22,385.0126325
16-May-22,301.9520574
17-May-22,250.4798689
18-May-22,398.7620612
23-May-22,546.0149774
26-May-22,441.1108782
28-May-22,511.0047449
2-Jun-22,641.7706657
7-Jun-22,930.956473
9-Jun-22,915.7900441
11-Jun-22,909.5078078
12-Jun-22,991.5722766
17-Jun-22,757.2133392
18-Jun-22,712.1249265
21-Jun-22,232.9608513
22-Jun-22,219.442808
27-Jun-22,225.0219323
2-Jul-22,2007.079672
3-Jul-22,2054.618522
4-Jul-22,463.198654
7-Jul-22,459.8463175
12-Jul-22,412.7845051
13-Jul-22,383.5016931
15-Jul-22,493.4157698
17-Jul-22,378.9889409
20-Jul-22,388.044559
22-Jul-22,343.0172195
27-Jul-22,500.4090805
29-Jul-22,522.3271791
1-Aug-22,552.1861055
5-Aug-22,520.5299709
6-Aug-22,513.3766067
8-Aug-22,326.7005478
11-Aug-22,579.8143458
16-Aug-22,742.4092027
20-Aug-22,642.8258144
21-Aug-22,517.5425105
30-Aug-22,1390.26455
31-Aug-22,1912.425683
1-Sep-22,1892.37194
5-Sep-22,1208.211088
6-Sep-22,1305.867711
10-Sep-22,750.3626401
13-Sep-22,1365.428525
15-Sep-22,1286.321027
18-Sep-22,1176.530518
20-Sep-22,1052.779838
22-Sep-22,733.3710042
25-Sep-22,744.6773252
30-Sep-22,866.1419818
1-Oct-22,863.696111
5-Oct-22,787.2572264
7-Oct-22,453.7363386
8-Oct-22,534.3994508
10-Oct-22,697.765978
15-Oct-22,481.3125898
17-Oct-22,388.044559
20-Oct-22,297.1320698
24-Oct-22,333.1739291
25-Oct-22,423.8807486
30-Oct-22,408.6011387
31-Oct-22,299.7558213
