Date,estimated river discharge,observed river discharge
2022/3/1,815.9106061,755
2022/3/4,786.6471139,665
2022/3/6,692.7557154,597
2022/3/7,706.1666463,630
2022/3/9,727.7935033,635
2022/3/10,687.1749786,558
2022/3/11,689.2631856,591
2022/3/14,658.5127732,560
2022/3/16,917.8076458,1060
2022/3/19,768.1310484,624
2022/3/21,278.8563614,366
2022/3/22,348.9603216,256
2022/3/23,343.9027031,195
2022/3/24,542.8819943,461
2022/3/26,344.7427815,251
2022/3/29,218.5866517,159
2022/3/30,264.124985,159
2022/3/31,603.383348,371
2022/4/3,755.9889286,701
2022/4/5,775.8017833,554
2022/4/8,879.6429049,1030
2022/4/10,842.7524882,648
2022/4/13,783.535766,802
2022/4/15,622.0181391,547
2022/4/18,783.535766,802
2022/4/20,430.7828894,364
2022/4/23,777.343514,648
2022/4/24,677.5023451,529
2022/4/25,667.9484538,372
2022/4/27,709.0181913,320
2022/4/28,685.7858834,580
2022/4/30,367.8583702,335
2022/5/1,316.0161973,227
2022/5/3,541.7960698,344
2022/5/5,292.4910558,317
2022/5/8,284.8720096,285
2022/5/9,269.964938,227
2022/5/10,247.723236,176
2022/5/13,341.3893163,245
2022/5/15,309.6443847,160
2022/5/17,348.1145262,163
2022/5/18,510.8434971,273
2022/5/20,619.6709236,508
2022/5/23,648.5336894,503
2022/5/25,399.0785824,400
2022/5/26,393.6250603,281
2022/5/28,529.9329076,529
2022/5/30,683.0149902,349
2022/6/2,781.9839006,646
2022/6/4,673.3933116,499
2022/6/7,846.8809492,829
2022/6/9,929.3299883,848
2022/6/11,909.0210491,848
2022/6/12,877.9385522,766
2022/6/14,828.8369976,619
2022/6/17,643.2665245,589
2022/6/18,318.424175,310
2022/6/19,296.3421728,219
2022/6/22,211.4490776,124
2022/6/24,198.7977312,120
2022/6/27,231.8926942,132
2022/7/4,399.0785824,301
2022/7/7,383.7362837,292
2022/7/9,389.1126466,434
2022/7/12,412.8974203,282
2022/7/13,541.7960698,356
2022/7/14,504.5690584,407
2022/7/17,423.1999926,388
2022/7/24,663.2158704,440
2022/7/27,676.815993,459
2022/7/29,668.6269486,420
2022/8/1,552.7113929,406
2022/8/3,722.6975419,946
2022/8/5,503.5276163,427
2022/8/6,581.6770913,669
2022/8/8,516.1060153,305
2022/8/11,706.8786111,638
2022/8/13,643.2665245,392
2022/8/16,752.9785227,759
2022/8/18,705.4552945,530
2022/8/21,704.0344333,694
2022/8/28,1435.895921,1550
2022/8/30,909.8967121,1020
2022/8/31,1828.204744,1920
2022/9/2,905.5250448,1450
2022/9/5,796.0421938,957
2022/9/6,825.5899302,1310
2022/9/7,923.1116131,1590
2022/9/10,911.6500354,689
2022/9/12,1585.112423,1730
2022/9/15,883.0595098,868
2022/9/17,871.9940297,927
2022/9/18,915.164671,1270
2022/9/20,839.4614093,1150
2022/9/22,783.535766,743
2022/9/25,728.5239748,600
2022/9/27,774.2625826,663
2022/9/30,866.0816701,778
2022/10/1,910.7730415,1040
2022/10/5,855.1866717,917
2022/10/7,769.6601446,525
2022/10/8,767.3674452,778
2022/10/10,799.9838913,820
2022/10/12,471.8487731,519
2022/10/15,308.0626511,247
2022/10/17,211.4490776,168
2022/10/20,229.8696384,181
2022/10/22,372.2312121,233
2022/10/24,238.0196112,308
2022/10/25,264.8511545,325
2022/10/28,306.4853982,202
2022/10/30,249.1267134,232
