Date,estimated river discharge
1-Mar-22,1079.337734
4-Mar-22,992.5162433
5-Mar-22,967.0564243
6-Mar-22,815.2533169
7-Mar-22,816.6688054
9-Mar-22,906.2100234
11-Mar-22,916.4279063
14-Mar-22,1155.426671
16-Mar-22,855.2291162
17-Mar-22,1111.843298
21-Mar-22,665.5470321
23-Mar-22,376.0417531
24-Mar-22,536.2097911
26-Mar-22,731.5627015
29-Mar-22,120.601536
31-Mar-22,918.3948408
3-Apr-22,947.1430117
5-Apr-22,890.9903886
8-Apr-22,992.5162433
10-Apr-22,812.4265785
13-Apr-22,744.9267514
15-Apr-22,1017.755739
18-Apr-22,1122.719833
20-Apr-22,1118.866966
22-Apr-22,654.2656905
23-Apr-22,330.9585185
24-Apr-22,495.8584446
25-Apr-22,381.553608
28-Apr-22,258.960734
30-Apr-22,255.2381468
3-May-22,167.7817511
4-May-22,234.9217914
5-May-22,228.5814599
8-May-22,265.7341099
10-May-22,222.3329271
13-May-22,257.4682415
15-May-22,218.2180656
16-May-22,267.2520296
18-May-22,288.9914803
20-May-22,388.0399217
23-May-22,401.1935454
25-May-22,580.673912
26-May-22,358.8776262
28-May-22,290.5793524
30-May-22,1037.972421
4-Jun-22,724.9325774
7-Jun-22,541.7989333
9-Jun-22,1150.783108
11-Jun-22,1166.11977
12-Jun-22,1165.448218
14-Jun-22,646.8057149
17-Jun-22,351.7819416
19-Jun-22,361.5585262
21-Jun-22,227.8826511
22-Jun-22,193.0945251
24-Jun-22,126.1963065
27-Jun-22,102.7150658
29-Jun-22,100.8669489
2-Jul-22,284.2559929
3-Jul-22,2153.47117
4-Jul-22,2155.768553
7-Jul-22,379.7114217
9-Jul-22,368.7611139
14-Jul-22,612.6334634
15-Jul-22,666.8072961
17-Jul-22,434.1502844
19-Jul-22,418.4618307
22-Jul-22,184.8683212
24-Jul-22,125.1695729
27-Jul-22,1040.315638
29-Jul-22,254.4970853
1-Aug-22,389.9042179
3-Aug-22,252.280802
6-Aug-22,255.9803596
8-Aug-22,303.4516858
11-Aug-22,2173.059528
13-Aug-22,401.1935454
14-Aug-22,377.8741377
18-Aug-22,1122.076621
20-Aug-22,906.6924555
21-Aug-22,1060.504832
1-Sep-22,3117.286518
2-Sep-22,2350.678271
5-Sep-22,1482.889822
7-Sep-22,1252.031426
10-Sep-22,911.5395119
12-Sep-22,2140.351628
13-Sep-22,2136.301302
15-Sep-22,1639.07809
17-Sep-22,1164.106408
20-Sep-22,1207.902792
22-Sep-22,979.9423211
25-Sep-22,904.2844274
27-Sep-22,1200.248833
30-Sep-22,1088.596465
2-Oct-22,1134.370808
5-Oct-22,1116.30693
7-Oct-22,1156.091759
10-Oct-22,917.4105469
12-Oct-22,943.0270243
15-Oct-22,237.0556954
17-Oct-22,101.7889302
20-Oct-22,114.6434764
22-Oct-22,111.237714
24-Oct-22,142.6536462
27-Oct-22,144.3006826
30-Oct-22,201.5080315
31-Oct-22,242.0746947
