Date,estimated river discharge
1-Mar-22,847.4089195
4-Mar-22,807.712584
6-Mar-22,715.4578549
7-Mar-22,731.0647438
9-Mar-22,777.3730696
10-Mar-22,781.0110102
11-Mar-22,746.8883641
14-Mar-22,864.7962006
16-Mar-22,629.5650269
21-Mar-22,608.586491
22-Mar-22,608.586491
23-Mar-22,454.4032669
24-Mar-22,392.2478235
26-Mar-22,510.6082872
29-Mar-22,411.6386665
31-Mar-22,656.8017928
3-Apr-22,692.4512141
5-Apr-22,736.3151423
8-Apr-22,907.2514374
10-Apr-22,931.5153939
13-Apr-22,932.5352804
15-Apr-22,823.6333764
20-Apr-22,968.6818719
23-Apr-22,432.3342093
24-Apr-22,806.7822556
25-Apr-22,756.6655713
27-Apr-22,440.9301713
28-Apr-22,404.8669402
30-Apr-22,528.7223002
3-May-22,413.1520786
5-May-22,421.5317884
8-May-22,391.5125026
9-May-22,356.424478
10-May-22,507.1987619
13-May-22,459.2133129
15-May-22,413.9099577
18-May-22,395.9360468
20-May-22,373.3802739
23-May-22,536.5959158
25-May-22,543.6505554
26-May-22,426.9137322
28-May-22,410.8831313
30-May-22,566.9429726
2-Jun-22,792.9095947
4-Jun-22,663.3426898
7-Jun-22,551.6500557
9-Jun-22,838.7998314
11-Jun-22,854.143805
12-Jun-22,868.6907536
14-Jun-22,839.7536199
17-Jun-22,583.3971724
19-Jun-22,628.602571
22-Jun-22,318.5586607
24-Jun-22,319.8704588
27-Jun-22,335.84551
29-Jun-22,294.8262399
2-Jul-22,342.6295363
4-Jul-22,2109.967108
7-Jul-22,526.1125193
9-Jul-22,477.9182242
12-Jul-22,754.8818302
22-Jul-22,404.8669402
24-Jul-22,399.6436552
29-Jul-22,556.1231281
1-Aug-22,561.5181262
3-Aug-22,494.528717
6-Aug-22,437.0110699
8-Aug-22,554.3314182
13-Aug-22,620.9334288
14-Aug-22,674.0606994
30-Aug-22,1116.442723
31-Aug-22,995.0403193
2-Sep-22,2098.431595
5-Sep-22,1008.925586
7-Sep-22,1125.621364
12-Sep-22,1201.982673
15-Sep-22,1184.077284
17-Sep-22,979.1710779
18-Sep-22,923.3819368
20-Sep-22,991.853443
22-Sep-22,729.3199653
25-Sep-22,674.0606994
27-Sep-22,807.712584
30-Sep-22,777.3730696
2-Oct-22,874.553582
7-Oct-22,819.8694017
10-Oct-22,759.3462454
12-Oct-22,741.5896673
15-Oct-22,694.9836911
17-Oct-22,388.5789528
20-Oct-22,362.7313524
22-Oct-22,345.364283
25-Oct-22,359.2199148
30-Oct-22,355.7275218
