Date,estimated river discharge
1-Mar-22,810.3414031
4-Mar-22,804.01637
6-Mar-22,724.3224295
7-Mar-22,768.582293
9-Mar-22,778.3792574
10-Mar-22,719.0849934
11-Mar-22,737.5118196
14-Mar-22,793.8246308
16-Mar-22,617.6838463
21-Mar-22,657.9309104
22-Mar-22,577.7261491
23-Mar-22,423.0803416
24-Mar-22,381.7046609
29-Mar-22,401.1568855
31-Mar-22,566.2625026
3-Apr-22,652.9750265
5-Apr-22,618.8821641
8-Apr-22,830.3300041
10-Apr-22,777.6938125
13-Apr-22,819.446914
15-Apr-22,792.0343245
18-Apr-22,824.0768417
20-Apr-22,800.709758
23-Apr-22,601.0463064
24-Apr-22,803.6475342
25-Apr-22,645.581377
27-Apr-22,542.6123076
28-Apr-22,501.2620651
30-Apr-22,584.6670824
1-May-22,489.636553
3-May-22,558.3154964
5-May-22,523.8845112
8-May-22,480.2388675
9-May-22,459.7208084
10-May-22,489.636553
13-May-22,483.3600455
15-May-22,460.7347766
17-May-22,477.1290551
18-May-22,433.7958401
20-May-22,505.5276774
23-May-22,632.1512424
25-May-22,733.5406127
26-May-22,620.081806
28-May-22,460.7347766
30-May-22,736.1867126
2-Jun-22,814.8684176
4-Jun-22,667.9071078
7-Jun-22,665.4049945
9-Jun-22,787.069359
11-Jun-22,827.9743691
12-Jun-22,829.5433666
14-Jun-22,776.6683611
17-Jun-22,455.6774552
18-Jun-22,571.9780085
19-Jun-22,584.6670824
22-Jun-22,502.3265571
24-Jun-22,356.5987227
27-Jun-22,366.3491939
29-Jun-22,369.9308741
2-Jul-22,418.2590595
4-Jul-22,1692.880702
7-Jul-22,659.1732352
9-Jul-22,591.6552076
19-Jul-22,438.7160614
20-Jul-22,446.6530273
22-Jul-22,468.8916839
24-Jul-22,403.9796669
27-Jul-22,771.5900543
29-Jul-22,598.6906338
1-Aug-22,637.0162589
3-Aug-22,563.9854227
5-Aug-22,768.2499157
6-Aug-22,505.5276774
8-Aug-22,551.5544561
11-Aug-22,1017.364509
13-Aug-22,605.7734697
14-Aug-22,694.5050195
16-Aug-22,770.2496352
18-Aug-22,770.2496352
21-Aug-22,821.3698031
26-Aug-22,948.122103
28-Aug-22,1071.751464
30-Aug-22,1666.40874
31-Aug-22,941.7991082
2-Sep-22,1687.369712
5-Sep-22,1025.46317
6-Sep-22,984.2366924
7-Sep-22,1102.03229
12-Sep-22,1083.860976
15-Sep-22,1091.438268
17-Sep-22,920.3774759
18-Sep-22,868.4811832
20-Sep-22,923.1919837
22-Sep-22,858.7596313
25-Sep-22,669.1601818
27-Sep-22,811.4683273
30-Sep-22,866.7769724
2-Oct-22,879.697155
5-Oct-22,822.9145407
7-Oct-22,802.1757766
10-Oct-22,782.5223227
12-Oct-22,730.8999973
15-Oct-22,654.2119865
17-Oct-22,429.881978
20-Oct-22,416.3391692
22-Oct-22,425.0174892
24-Oct-22,403.0375159
25-Oct-22,386.2875016
27-Oct-22,419.2208508
30-Oct-22,403.0375159
