Date,estimated river discharge
4-Mar-22,842.3203793
7-Mar-22,686.9491841
9-Mar-22,785.3089719
10-Mar-22,693.3903811
14-Mar-22,973.7685412
19-Mar-22,789.3407568
22-Mar-22,427.018778
23-Mar-22,408.2643632
24-Mar-22,620.6371589
29-Mar-22,341.6860174
3-Apr-22,1045.938152
8-Apr-22,1037.839877
13-Apr-22,1010.616236
15-Apr-22,686.1464712
18-Apr-22,985.4299421
23-Apr-22,977.645446
24-Apr-22,1005.861697
27-Apr-22,610.8350066
28-Apr-22,640.5105406
1-May-22,452.5519129
3-May-22,517.6789251
8-May-22,471.7653592
9-May-22,383.6046072
10-May-22,488.121998
13-May-22,484.1676437
17-May-22,453.8188055
18-May-22,465.3107845
23-May-22,582.6936287
26-May-22,452.5519129
28-May-22,492.7584333
2-Jun-22,819.3323604
7-Jun-22,751.5961001
11-Jun-22,1041.074193
12-Jun-22,1011.410103
17-Jun-22,716.3466606
18-Jun-22,634.357346
22-Jun-22,581.2335085
2-Jul-22,1618.800913
4-Jul-22,695.8147715
7-Jul-22,653.699536
12-Jul-22,690.1654492
13-Jul-22,496.0853744
17-Jul-22,663.8896678
27-Jul-22,723.9401697
29-Jul-22,723.3053113
1-Aug-22,686.9491841
5-Aug-22,549.6386356
6-Aug-22,585.6201523
11-Aug-22,725.8470025
26-Aug-22,1061.43975
30-Aug-22,1171.587146
31-Aug-22,1690.055346
5-Sep-22,1087.056359
10-Sep-22,935.5594256
15-Sep-22,1169.838044
18-Sep-22,1274.149768
20-Sep-22,1383.403332
22-Sep-22,590.7617514
25-Sep-22,527.9809978
30-Sep-22,1016.97874
5-Oct-22,997.9704368
10-Oct-22,523.8463262
15-Oct-22,169.1445616
17-Oct-22,205.4280367
20-Oct-22,133.2515262
24-Oct-22,142.231107
25-Oct-22,172.4934232
30-Oct-22,189.7579112
