Date,estimated river discharge
1-Mar-22,918.7558555
4-Mar-22,640.4253827
5-Mar-22,616.4875117
6-Mar-22,594.7702168
7-Mar-22,609.2079722
9-Mar-22,655.3688314
10-Mar-22,492.3467339
11-Mar-22,592.9768678
14-Mar-22,633.0143677
16-Mar-22,1062.831335
17-Mar-22,1139.928579
19-Mar-22,670.4742206
21-Mar-22,261.201166
22-Mar-22,197.198064
23-Mar-22,210.0517861
24-Mar-22,452.8567376
26-Mar-22,484.7981154
29-Mar-22,338.659069
30-Mar-22,284.130307
31-Mar-22,519.7303877
3-Apr-22,732.516731
5-Apr-22,552.4271763
8-Apr-22,1289.043181
10-Apr-22,847.3465332
13-Apr-22,674.2758808
15-Apr-22,760.4768673
18-Apr-22,903.3758934
20-Apr-22,510.2211282
22-Apr-22,664.7907171
23-Apr-22,890.2927996
24-Apr-22,793.0408873
25-Apr-22,618.3137152
27-Apr-22,434.6007467
28-Apr-22,542.6097693
30-Apr-22,369.3785572
1-May-22,323.859674
3-May-22,359.441048
4-May-22,334.5860515
5-May-22,395.6381282
8-May-22,333.9099053
9-May-22,280.4387359
10-May-22,341.3898045
13-May-22,365.8118851
15-May-22,224.9739223
17-May-22,198.2101691
18-May-22,329.1983593
20-May-22,580.4941847
23-May-22,609.2079722
25-May-22,449.6509602
26-May-22,309.4297778
28-May-22,439.3218749
30-May-22,474.0124392
2-Jun-22,881.6218483
4-Jun-22,589.3977547
7-Jun-22,1062.831335
9-Jun-22,1474.986243
11-Jun-22,901.1889877
12-Jun-22,970.1734732
14-Jun-22,793.0408873
17-Jun-22,638.5688357
18-Jun-22,502.5158322
19-Jun-22,405.372499
21-Jun-22,313.9812143
22-Jun-22,238.7717641
24-Jun-22,251.8651245
27-Jun-22,250.7112868
2-Jul-22,1778.444892
3-Jul-22,1494.551142
4-Jul-22,270.7253129
7-Jul-22,279.2141666
9-Jul-22,374.404763
12-Jul-22,277.9925715
13-Jul-22,436.1712238
14-Jul-22,442.4854665
15-Jul-22,383.841182
17-Jul-22,325.1897586
19-Jul-22,271.3268442
20-Jul-22,350.3499731
22-Jul-22,380.9235131
24-Jul-22,400.8630276
27-Jul-22,440.9020514
29-Jul-22,530.2195507
1-Aug-22,474.837172
3-Aug-22,813.723974
5-Aug-22,467.4441077
6-Aug-22,478.9731639
8-Aug-22,454.4645076
11-Aug-22,627.4826596
13-Aug-22,587.6119862
16-Aug-22,784.8388796
18-Aug-22,706.99899
20-Aug-22,513.6673565
21-Aug-22,625.6438127
28-Aug-22,1488.94794
30-Aug-22,1325.759461
31-Aug-22,2329.999789
1-Sep-22,2630.543377
2-Sep-22,1403.450054
5-Sep-22,1191.965099
6-Sep-22,1685.421105
7-Sep-22,1538.013364
10-Sep-22,1624.762122
12-Sep-22,2072.234266
13-Sep-22,1751.630808
15-Sep-22,1417.299248
17-Sep-22,1451.272386
18-Sep-22,1419.712237
20-Sep-22,1426.963804
22-Sep-22,945.4133011
25-Sep-22,752.4374855
27-Sep-22,716.7627928
30-Sep-22,598.3644913
1-Oct-22,974.7086731
2-Oct-22,485.6335487
5-Oct-22,979.2541406
7-Oct-22,457.6898201
8-Oct-22,805.4202047
10-Oct-22,1115.551193
12-Oct-22,483.1297247
15-Oct-22,321.2086621
17-Oct-22,296.6297641
20-Oct-22,279.2141666
22-Oct-22,337.9783104
24-Oct-22,408.3947354
25-Oct-22,337.2983204
27-Oct-22,372.2459745
30-Oct-22,242.1503768
31-Oct-22,234.8629707
